"area_sqkm","length_km","HydroID"
2.8323,7.073234984,"201484086"
22.4685,14.410488104,"201484107"
2.0781,3.039436108,"201484108"
174.4551,334.740003197,"201484114"
9.5742,21.026845091,"201484115"
8.7102,17.426630432,"201484121"
2.475,1.841621641,"201484122"
24.5934,17.777479362,"201484123"
1.1268,0.754541098,"201484127"
40.8924,37.725090413,"201484129"
42.1137,38.891542929,"201484130"
2.556,1.874722852,"201484136"
1.1772,1.224648668,"201484139"
6.0453,5.074174333,"201484140"
1.2681,3.495880012,"201484145"
3.474,3.045350019,"201484148"
0.9747,0.511020666,"201484154"
1.9593,2.932014595,"201484156"
26.1936,20.226059949,"201484158"
25.0659,47.6430207,"201484175"
1.3455,3.098217025,"201484179"
219.8673,413.136156524,"201484180"
160.7553,301.520428355,"201484186"
164.4453,309.03022229,"201484187"
17.6229,33.518260059,"201484188"
1.0485,1.734893236,"201484189"
1.4589,3.269290398,"201484190"
1.7307,2.599098519,"201484192"
18.6732,35.278828833,"201484193"
5.9337,12.317718394,"201484194"
28.494,45.482224535,"201484195"
11.3508,23.909124982,"201484196"
1.1889,2.540752079,"201484200"
1.2303,2.0444171,"201484201"
14.1615,16.673110244,"201484218"
1.1745,2.294734599,"201484219"
184.7475,357.309586108,"201484228"
18.3699,36.435065834,"201484229"
2.9979,8.304953064,"201484230"
1.3203,2.190307072,"201484238"
0.8028,2.55548672,"201484243"
194.454,376.936206429,"201484246"
196.8759,383.558749732,"201484247"
8.7795,5.475647666,"201484263"
478.0206,557.718884106,"201484264"
15.7248,28.126064265,"201484265"
2.6118,5.117361992,"201484266"
215.8965,420.838938664,"201484274"
2.8701,5.93197863,"201484276"
135.5778,253.568802703,"201484277"
7.6473,7.378392997,"201484278"
3.2913,5.908442388,"201484280"
35.4735,64.309987973,"201484281"
131.2803,245.851432151,"201484282"
11.5884,12.523204871,"201484284"
2.3751,3.712275465,"201484286"
17.775,35.174999475,"201484287"
19.3455,35.133777226,"201484292"
0.9801,2.280410943,"201484300"
3.3939,6.910951417,"201484305"
15.3594,27.257636947,"201484306"
1.5696,2.953453481,"201484311"
52.8759,92.424894814,"201484317"
5.0742,2.903580101,"201484320"
1.8252,3.591416378,"201484327"
1.1601,1.852376068,"201484328"
1.2033,2.166536661,"201484329"
29.7765,24.167571593,"201484335"
11.0196,17.80920111,"201484336"
54.1179,95.280538306,"201484337"
3.2445,6.100727204,"201484338"
21.2562,39.29857373,"201484339"
0.8388,1.464260414,"201484341"
0.9639,2.383896787,"201484355"
57.402,101.58890467,"201484361"
0.8748,0.996875854,"201484367"
1.5723,3.851605969,"201484371"
8.676,6.199265732,"201484377"
1.9395,4.991580716,"201484378"
4.2651,6.894660833,"201484379"
268.7877,525.492889356,"201484381"
270.7308,530.505019686,"201484382"
272.1294,532.951239985,"201484383"
31.725,65.233068136,"201484384"
1.1556,0.865250384,"201484385"
303.8787,598.337995274,"201484391"
1.8585,4.460062505,"201484392"
1.3626,2.448098451,"201484393"
1.071,1.586231898,"201484394"
9.2655,18.611269521,"201484403"
224.4474,418.258372081,"201484404"
1.2195,1.953906043,"201484405"
2.6811,4.581168336,"201484406"
3.4038,3.906098498,"201484411"
4.3227,3.84026995,"201484412"
2.6856,4.560335303,"201484415"
0.9333,1.804161125,"201484416"
20.6577,39.856431017,"201484417"
8.8272,18.445002912,"201484418"
1.3518,2.26405846,"201484419"
488.4282,565.041575489,"201484424"
2.6334,3.735330201,"201484425"
14.3208,17.595533617,"201484439"
5.5548,8.172703303,"201484440"
4.3362,4.798667337,"201484450"
2.0484,1.74455344,"201484451"
10.3122,20.982207814,"201484452"
12.5901,25.57952323,"201484453"
7.0821,7.182768368,"201484460"
305.883,603.190183392,"201484461"
2.3184,4.717889276,"201484462"
1.1205,0.790362344,"201484466"
19.8126,16.111876685,"201484467"
1.9854,4.655510807,"201484477"
246.6612,484.676132298,"201484478"
3.0411,2.794645759,"201484483"
1.3383,2.180552112,"201484484"
1.0872,1.243330789,"201484492"
0.8325,1.262839494,"201484502"
3.2553,5.883423507,"201484503"
1.9332,2.644686889,"201484511"
2.3319,3.339142278,"201484515"
128.6397,240.424535956,"201484518"
3.7674,4.980562166,"201484521"
2.7486,1.467864572,"201484522"
31.9572,26.931784703,"201484523"
1.1628,2.328660141,"201484526"
318.996,631.136898128,"201484527"
491.4531,569.599122497,"201484529"
37.1826,32.623916419,"201484530"
1.9494,4.340448549,"201484533"
125.0541,232.47993508,"201484540"
22.0689,43.303584083,"201484541"
0.8262,2.156948974,"201484542"
3.6342,6.815289137,"201484543"
345.0231,685.163277123,"201484548"
88.1811,93.270596035,"201484555"
5.5845,6.732169755,"201484556"
3.9312,3.188000786,"201484561"
218.7459,425.458064621,"201484563"
1.6137,3.398826867,"201484568"
367.5024,729.069103828,"201484574"
3.4308,6.732654473,"201484575"
61.3638,109.492632126,"201484577"
0.9864,0.713208593,"201484584"
1.3167,0.938967654,"201484585"
65.5794,119.648310438,"201484586"
124.0497,231.584800412,"201484587"
242.8191,477.056588433,"201484598"
5.0643,8.323090343,"201484599"
4.3677,7.975977099,"201484600"
0.7767,1.862027124,"201484601"
2.9781,6.40817992,"201484606"
8.1792,12.957106069,"201484615"
2.0007,3.691515832,"201484616"
371.3283,736.535105293,"201484617"
10.9971,23.621411665,"201484620"
238.0437,445.252585801,"201484626"
232.2783,454.113372398,"201484633"
0.7983,0.416282045,"201484636"
1.7874,3.535488171,"201484637"
3.4434,7.530200889,"201484639"
0.7974,1.428055584,"201484643"
0.8595,1.924839816,"201484644"
3.681,8.86695593,"201484654"
2.3886,2.511185995,"201484658"
1.242,1.722742296,"201484662"
2.2842,3.489379813,"201484663"
5.8284,5.420208254,"201484668"
6.4638,12.509347869,"201484674"
5.0238,5.374304908,"201484677"
5.2065,8.251177181,"201484692"
2.0574,0.88834782,"201484696"
0.9477,1.767872678,"201484699"
1.2078,2.243930627,"201484700"
2.7288,4.38894758,"201484701"
374.7078,743.11904063,"201484709"
6.1533,12.736687608,"201484710"
9.8721,11.022019049,"201484714"
3.8799,3.056494711,"201484715"
1.1952,1.772387308,"201484719"
0.8199,1.920535128,"201484723"
3.9447,1.966006764,"201484734"
2.1195,2.916268168,"201484735"
1.5435,1.814582283,"201484736"
0.7974,1.801370229,"201484739"
0.9261,1.799585712,"201484740"
240.8796,449.552426941,"201484741"
0.819,1.093596393,"201484747"
3.8763,5.960305874,"201484748"
1.8108,4.747113362,"201484749"
1.7541,0.912795571,"201484755"
1.1169,1.029658773,"201484769"
0.9279,0.656817778,"201484773"
