"HydroID","cnt","coreforest_2010_sum","coreforest_2010_pct"
201484238,0,0,NA
201484219,984,730,0.741869918699187
201484200,1015,793,0.78128078817734
201484194,728,64,0.0879120879120879
201484277,929,759,0.817007534983854
201484186,20,20,1
201484228,485,166,0.342268041237113
201484404,701,151,0.215406562054208
201484193,0,0,NA
201484418,419,72,0.171837708830549
201484327,1473,896,0.608282416836388
201484266,177,77,0.435028248587571
201484419,1016,610,0.600393700787402
201484329,1222,1210,0.990180032733224
201484521,0,0,NA
201484311,0,0,NA
201484300,978,716,0.732106339468303
201484284,0,0,NA
201484247,68,38,0.558823529411765
201484403,696,400,0.574712643678161
201484246,188,14,0.074468085106383
201484274,481,247,0.513513513513513
201484243,371,156,0.420485175202156
201484371,696,104,0.149425287356322
201484281,247,127,0.51417004048583
201484789,1594,625,0.392095357590966
201484424,0,0,NA
201484377,0,0,NA
201484292,490,238,0.485714285714286
201484882,4365,2759,0.632073310423826
201484518,1889,1127,0.596611964002117
201484563,1425,657,0.461052631578947
201484282,14,8,0.571428571428571
201484355,617,149,0.241491085899514
201484467,0,0,NA
201484306,513,119,0.231968810916179
201484417,347,115,0.331412103746398
201484460,0,0,NA
201484450,0,0,NA
201484337,240,118,0.491666666666667
201484393,1348,1206,0.894658753709199
201484451,0,0,NA
201484317,300,173,0.576666666666667
201484515,0,0,NA
201484336,138,95,0.688405797101449
201484328,1191,1126,0.945424013434089
201484411,0,0,NA
201484339,389,75,0.19280205655527
201484406,329,257,0.781155015197568
201484341,0,0,NA
201484523,0,0,NA
201484415,2356,1740,0.738539898132428
201484361,43,43,1
201484615,1498,1153,0.769692923898531
201484477,1371,476,0.347191830780452
201484575,2718,1816,0.668138337012509
201484394,954,733,0.768343815513627
201484416,686,326,0.475218658892128
201484367,718,379,0.527855153203343
201484577,2573,1718,0.6677030703459
201484405,1161,980,0.844099913867356
201484478,708,154,0.217514124293785
201484385,525,119,0.226666666666667
201484561,0,0,NA
201484381,216,0,0
201484382,0,0,NA
201484440,0,0,NA
201484484,364,33,0.0906593406593407
201484383,5,0,0
201484391,1,0,0
201484639,2090,683,0.326794258373206
201484461,68,42,0.617647058823529
201484453,371,140,0.377358490566038
201484439,340,29,0.0852941176470588
201484503,869,869,1
201484626,216,0,0
201484599,1094,710,0.648994515539305
201484714,0,0,NA
201484533,1964,1454,0.740325865580448
201484674,1021,662,0.648383937316356
201484541,270,128,0.474074074074074
201484452,11,0,0
201484529,0,0,NA
201484530,0,0,NA
201484668,0,0,NA
201484522,0,0,NA
201484527,1277,723,0.566170712607674
201484466,0,0,NA
201484616,1740,1231,0.707471264367816
201484483,0,0,NA
201484585,0,0,NA
201484620,558,96,0.172043010752688
201484543,104,5,0.0480769230769231
201484568,715,108,0.151048951048951
201484658,0,0,NA
201484787,0,0,NA
201484598,246,33,0.134146341463415
201484492,499,123,0.246492985971944
201484502,866,740,0.854503464203233
201484542,498,191,0.383534136546185
201484511,0,0,NA
201484600,260,253,0.973076923076923
201484791,0,0,NA
201484794,1769,1185,0.669869983041266
201484556,1634,506,0.309669522643819
201485054,0,0,NA
201484526,1085,803,0.740092165898617
201484823,0,0,NA
201484540,11,11,1
201484792,0,0,NA
201484548,107,40,0.373831775700935
201484574,274,78,0.284671532846715
201484710,1344,650,0.483630952380952
201484734,0,0,NA
201484587,79,36,0.455696202531646
201484584,776,399,0.514175257731959
201485390,0,0,NA
201485178,3956,3045,0.769716885743175
201484617,281,78,0.277580071174377
201484586,498,409,0.821285140562249
201484601,730,730,1
201484633,1251,437,0.349320543565148
201484677,0,0,NA
201484830,1069,499,0.466791393826006
201484637,1297,591,0.455666923670008
201484795,1003,698,0.695912263210369
201484606,75,75,1
201484839,2271,2271,1
201484836,1019,371,0.364082433758587
201484816,1573,897,0.570247933884298
201484719,1121,801,0.714540588760036
201484709,1567,828,0.528398213146139
201484636,474,227,0.478902953586498
201484696,0,0,NA
201484662,1305,1215,0.931034482758621
201484692,328,229,0.698170731707317
201484654,614,242,0.39413680781759
201484643,781,514,0.658130601792574
201484663,1009,143,0.141724479682854
201485014,1281,454,0.354410616705699
201484769,890,472,0.530337078651685
201484741,185,1,0.00540540540540541
201484786,0,0,NA
201484644,313,11,0.0351437699680511
201484701,144,144,1
201484997,1014,268,0.264299802761341
201484805,0,0,NA
201484755,0,0,NA
201484749,1638,872,0.532356532356532
201484808,1002,585,0.583832335329341
201484736,0,0,NA
201484740,614,383,0.623778501628665
201484735,0,0,NA
201484998,1505,722,0.479734219269103
201484853,0,0,NA
201484723,877,804,0.916761687571266
201485194,1323,370,0.279667422524565
201484700,616,266,0.431818181818182
201484699,797,501,0.628607277289837
201484715,0,0,NA
201484748,59,15,0.254237288135593
201484999,1400,887,0.633571428571429
201484778,134,34,0.253731343283582
201485019,0,0,NA
201484817,694,559,0.805475504322767
201484739,715,506,0.707692307692308
201484852,0,0,NA
201484785,0,0,NA
201484893,1027,336,0.327166504381694
201484891,0,0,NA
201484827,0,0,NA
201484747,863,833,0.965237543453071
201484845,178,137,0.769662921348315
201484922,610,184,0.301639344262295
201484911,1787,884,0.494683827644096
201485064,2994,2215,0.739812959251837
201484826,0,0,NA
201484773,0,0,NA
201484968,0,0,NA
201484834,598,265,0.44314381270903
201484844,251,70,0.278884462151394
201484952,0,0,NA
201484934,958,490,0.511482254697286
201484936,997,276,0.276830491474423
201484941,0,0,NA
201484946,1363,972,0.713132795304475
201484984,0,0,NA
201484919,0,0,NA
201485159,0,0,NA
201484831,11,10,0.909090909090909
201485085,0,0,NA
201484835,849,782,0.921083627797409
201484964,3426,1959,0.571803852889667
201485009,1745,1307,0.748997134670487
201484833,19,19,1
201484868,503,118,0.234592445328032
201485115,1332,650,0.487987987987988
201485107,2162,1501,0.694264569842738
201485050,564,361,0.640070921985816
201485282,3576,2236,0.625279642058166
201484935,851,442,0.519388954171563
201485158,0,0,NA
201484959,0,0,NA
201484923,381,55,0.144356955380577
201484901,494,127,0.257085020242915
201485020,557,307,0.551166965888689
201485097,1831,1357,0.741125068268706
201484928,0,0,NA
201484940,0,0,NA
201485301,0,0,NA
201484983,0,0,NA
201484979,595,82,0.13781512605042
201484947,0,0,NA
201484927,0,0,NA
201485038,0,0,NA
201485049,506,157,0.310276679841897
201485053,0,0,NA
201485063,0,0,NA
201485478,3220,1886,0.585714285714286
201485086,0,0,NA
201484942,2,0,0
201485104,1239,518,0.418079096045198
201484971,926,539,0.58207343412527
201485021,116,30,0.258620689655172
201485044,0,0,NA
201485037,0,0,NA
201485060,0,0,NA
201485458,2767,2157,0.779544633176726
201485062,0,0,NA
201485048,1612,973,0.603598014888337
201485045,0,0,NA
201484988,0,0,NA
201485167,0,0,NA
201485052,1279,1054,0.824081313526192
201485015,1878,1136,0.604898828541001
201485205,0,0,NA
201485214,1281,867,0.676814988290398
201485237,0,0,NA
201485226,1012,405,0.400197628458498
201485081,712,261,0.366573033707865
201485036,0,0,NA
201485022,905,773,0.85414364640884
201485866,6295,4034,0.640826052422558
