STA_SEQ,NAME,YLAT,XLONG,HydroID
"16110",Mott Hill Brook,41.661499999999997,-72.536500000000004,"201492240"
"16076",Housatonic River,41.767299999999999,-73.437899999999999,"201492784"
"16120",Elbow Brook,41.521099999999997,-72.486900000000006,"201493694"
"16065",Housatonic River,41.814799999999998,-73.376000000000005,"201492073"
"14422",Quinnipiac River,41.491199999999999,-72.817400000000006,"201494740"
"15892",Shetucket River,41.617500000000000,-72.084999999999994,"201491517"
"14424",Quinnipiac River,41.643999999999998,-72.874499999999998,"201493162"
"16128",Stonehouse Brook,41.781199999999998,-72.150899999999993,"201489426"
"16124",Flat Brook,41.938248999999999,-73.321123000000000,"201490398"
"15176",Natchaug River,41.756900000000002,-72.152299999999997,"201489845"
"16114",Rugg Brook,41.932800000000000,-73.121399999999994,"201489974"
"16116",Kettle Brook,41.932400000000001,-72.944199999999995,"201489446"
"16127",Jakes Brook,41.864151000000000,-73.167441999999994,"201490956"
"15312",Beaver Brook,41.409951999999997,-72.329059000000001,"201494645"
"15501",Cedar Pond Brook,41.411900000000003,-72.312799999999996,"201494614"
"15796",PENDLETON HILL BROOK,41.474800000000002,-71.834199999999996,"201492977"
"16064",Umpawaug Pond Brook,41.316899999999997,-73.444299999999998,"201496612"
"15315",Burnham Brook,41.460299999999997,-72.334299999999999,"201494065"
"16123",Muddy Brook,41.475600000000000,-72.341999999999999,"201493893"
"16122",Early Brook,41.497799999999998,-72.343500000000006,"201493654"
"16143",Little River,41.293100000000003,-73.367800000000003,"201496681"
"16063",Marshepaug River,41.779400000000003,-73.266300000000001,"201492403"
"16109",Gardner Brook,41.864199999999997,-72.159800000000004,"201488230"
"16108",Knowlton Brook,41.849200000000003,-72.178299999999993,"201488530"
"15370",Saugatuck River,41.192700000000002,-73.361699999999999,"201496890"
"15375",Aspetuck River,41.176900000000003,-73.357900000000001,"201496904"
"15364",West Branch Saugatuck River,41.171799999999998,-73.364300000000000,"201496923"
"16141",Pequonnock River,41.253399999999999,-73.205900000000000,"201496673"
"14290",Menunketesuck River,41.356499999999997,-72.540499999999994,"201495463"
"16131",Chatfield Hollow Brook,41.331400000000002,-72.594999999999999,"201495725"
"16138",Wepawaug River,41.329700000000003,-73.029600000000002,"201496249"
"16137",Indian River,41.265099999999997,-73.012900000000002,"201496531"
"14431",Rippowam River,41.113399999999999,-73.547100000000000,"201497129"
"15066",Patton Brook,41.646200000000000,-72.860100000000003,"201493232"
"16133",Wharton Brook,41.432400000000001,-72.832099999999997,"201495315"
"15193",Honeypot Brook,41.539600000000000,-72.878900000000002,"201494751"
"16066",Farmington River,41.914000000000001,-72.765000000000001,"201489300"
"16136",Wintergreen Brook,41.345799999999997,-72.958500000000001,"201496082"
"16139",Brown Brook,41.926699999999997,-73.279899999999998,"201490357"
"16240",Farm River,41.281399999999998,-72.866100000000003,"201496352"
"15067",Farm River,41.352400000000003,-72.807299999999998,"201495865"
"14554",Norwalk River,41.226799999999997,-73.424599999999998,"201496832"
"14555",Norwalk River,41.163899999999998,-73.419300000000007,"201496962"
"16205",Norwalk River,41.123100000000001,-73.424999999999997,"201497068"
"16146",East Branch Byram River,41.061199999999999,-73.674800000000005,"201497230"
"16145",Horseneck Brook,41.021999999999998,-73.632800000000003,"201497254"
"16135",Sargent River,41.427199999999999,-72.989900000000006,"201495669"
"16140",Bruce Brook,41.189900000000002,-73.155100000000004,"201496858"
"16082","Bunnell Brook (""Burlington Brook"")",41.783299999999997,-72.924700000000001,"201491410"
"15571",Cherry Brook,41.836500000000001,-72.929500000000004,"201490704"
"16370",Bunnell Brook,41.780700000000003,-72.962999999999994,"201491607"
"16316",Jim Brook,41.837699999999998,-72.881699999999995,"201491183"
"14983",Salmon Brook,41.718100000000000,-72.613299999999995,"201491557"
"16352",Lydall Brook,41.795200000000001,-72.521500000000003,"201490260"
"16289",Staddle Brook,41.726999999999997,-72.378200000000007,"201490815"
"16300",Hop River,41.771200000000000,-72.408900000000003,"201490315"
"16313",Mad River,41.947699999999998,-73.144400000000005,"201489714"
"15678",Sandy Brook,42.010899999999999,-73.088800000000006,"201488629"
"16089",Morgan Brook,41.908600000000000,-73.000699999999995,"201489944"
"15768",Mallory Brook,41.911299999999997,-73.026300000000006,"201489951"
