staSeq,date,reachLen,totalInd,sampYr,lev1Name,lev1Memb,lev2Name,lev2Memb,levPropNum
16022,1991-07-22,150,525,1991,2,0.722222222,3,0.27777778,2.277777784
16696,1991-07-22,100,231,1991,2,1,NA,0,2
16754,1991-07-23,500,103,1991,5,0.5776699,4,0.422330097,4.577669888
15730,1991-07-24,150,404,1991,4,1,NA,0,4
17207,1991-07-24,50,131,1991,2,0.76335878,1,0.236641221,1.763358781
15128,1991-07-24,100,233,1991,3,0.537553648,4,0.46244635,3.462446344
14784,1991-07-24,150,236,1991,4,1,NA,0,4
14318,1991-07-25,200,437,1991,5,0.75,4,0.25,4.75
16755,1991-07-25,500,126,1991,5,1,NA,0,5
16655,1991-07-29,100,230,1991,4,0.88043478,3,0.119565217,3.880434772
15579,1991-07-29,50,41,1991,2,1,NA,0,2
16335,1991-07-29,150,815,1991,2,0.539877301,3,0.4601227,2.460122701
17058,1991-07-29,50,136,1991,4,1,NA,0,4
16560,1991-07-30,50,34,1991,5,0.97058824,4,0.029411765,4.970588259
17134,1991-07-30,50,99,1991,1,1,NA,0,1
17133,1991-07-30,50,52,1991,2,1,NA,0,2
17186,1991-07-30,103,311,1991,4,0.717041801,5,0.2829582,4.282958203
16779,1991-07-30,100,686,1991,4,1,NA,0,4
15148,1991-07-31,150,421,1991,4,1,NA,0,4
17054,1991-07-31,50,126,1991,5,1,NA,0,5
14971,1991-07-31,100,225,1991,3,0.75,2,0.25,2.75
17037,1991-08-01,50,200,1991,3,0.5,4,0.5,3.5
14284,1991-08-01,150,848,1991,3,0.79599057,2,0.204009434,2.795990578
16555,1991-08-05,50,13,1991,3,1,NA,0,3
16914,1991-08-05,50,24,1991,5,1,NA,0,5
14785,1991-08-06,200,850,1991,3,0.696078431,4,0.30392157,3.303921574
16984,1991-08-07,98,60,1991,4,0.666666667,5,0.25,4.166666667
17124,1991-08-07,150,257,1991,4,1,NA,0,4
17125,1991-08-07,150,312,1991,3,0.5,4,0.5,3.5
17176,1991-08-07,50,269,1991,4,1,NA,0,4
17164,1991-08-08,100,255,1991,5,1,NA,0,5
14779,1991-08-12,150,370,1991,4,1,NA,0,4
17170,1991-08-12,100,203,1991,4,0.64162562,3,0.358374384,3.641625633
16656,1991-08-12,50,39,1991,3,0.75,4,0.25,3.25
17089,1991-08-13,50,52,1991,5,1,NA,0,5
17132,1991-08-13,50,17,1991,1,1,NA,0,1
16483,1991-08-13,150,118,1991,5,1,NA,0,5
17136,1991-08-13,50,21,1991,2,1,NA,0,2
16750,1991-08-13,70,184,1991,2,1,NA,0,2
16790,1991-08-13,45,153,1991,3,0.82026144,2,0.179738562,2.820261444
16736,1991-08-15,100,303,1991,3,0.74257426,2,0.257425743,2.742574265
16863,1991-08-15,100,238,1991,2,0.5,3,0.5,2.5
16825,1991-08-15,107,264,1991,4,0.75,3,0.25,3.75
17175,1991-08-15,100,194,1991,4,1,NA,0,4
16633,1991-08-15,96,113,1991,3,0.5,4,0.5,3.5
17035,1991-08-22,50,36,1991,1,1,NA,0,1
17129,1991-08-22,50,131,1991,3,1,NA,0,3
16554,1991-08-22,50,36,1991,2,1,NA,0,2
17127,1991-08-22,50,33,1991,2,1,NA,0,2
15575,1991-08-22,100,49,1991,2,1,NA,0,2
17131,1991-08-23,100,130,1991,1,1,NA,0,1
17135,1991-08-27,50,48,1991,2,1,NA,0,2
15998,1991-08-27,105,209,1991,4,0.75,3,0.25,3.75
15515,1991-08-27,100,312,1991,3,0.75,4,0.25,3.25
16599,1991-08-28,50,110,1991,4,0.75,3,0.25,3.75
16536,1991-08-28,96,82,1991,3,0.93902439,2,0.06097561,2.93902439
16780,1991-08-29,100,112,1991,5,1,NA,0,5
17122,1991-08-29,100,223,1991,4,1,NA,0,4
15162,1991-09-03,150,1084,1991,4,1,NA,0,4
16783,1991-09-09,100,283,1991,4,1,NA,0,4
16526,1991-09-09,100,228,1991,2,0.75,3,0.25,2.25
16981,1991-09-11,152,385,1991,3,0.65584416,2,0.344155844,2.655844168
